 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      5   1540  13335  99999  99999    310    154
      4   1500  13510   -497   -817    315    144
      5   1440  13776  99999  99999    330    129
      5   1420  13867   -503   -823  99999  99999
      5   1290  14494  99999  99999    295     98
      5   1220  14852   -515   -835  99999  99999
      5   1160  15180   -489   -819  99999  99999
      5   1050  15837  99999  99999    335     57
      5   1020  16028  99999  99999    290     51
      4   1000  16160   -535   -835    290     77
      5    905  16798  99999  99999    285    103
      5    874  17020  99999  99999    295    123
      5    846  17228  99999  99999    315     87
      5    812  17490  99999  99999    310     72
      5    805  17545  99999  99999    300     62
      5    802  17578   -527   -837  99999  99999
      5    787  17697  99999  99999    280     77
      5    740  18092   -559   -849  99999  99999
      5    735  18134  99999  99999    295     62
      5    715  18307  99999  99999    260     77
      4    700  18440   -541   -851    265     98
      5    671  18711  99999  99999    290     98
      5    669  18730   -533   -843  99999  99999
      5    641  19004  99999  99999    300     67
      5    619  19228  99999  99999    280     93
      5    602  19406  99999  99999    290     87
      5    580  19645  99999  99999    275     87
      5    537  20140  99999  99999    300     77
      5    529  20236  99999  99999    290     62
      5    521  20334  99999  99999    265     57
      5    517  20383  99999  99999    250     62
      4    500  20600   -555   -855    250     93
      5    451  21254  99999  99999    260    113
      5    440  21410  99999  99999    270    139
      5    419  21720  99999  99999    290     72
      5    407  21904  99999  99999    270     46
      5    402  21982  99999  99999    260     51
      5    400  22018   -555   -865  99999  99999
      5    357  22738  99999  99999    290     62
      5    344  22969   -589   -879  99999  99999
      5    340  23043  99999  99999    285     41
      5    329  23252  99999  99999    255     87
      5    304  23755  99999  99999    275    134
      4    300  23840   -571   -871    280    129
      5    298  23882   -573   -873  99999  99999
      5    295  23946  99999  99999    290    123
      5    281  24256   -527   -857  99999  99999
      5    273  24439  99999  99999    300     51
      5    269  24532  99999  99999    290     41
      5    253  24922  99999  99999    275     67
      5    234  25419  99999  99999    290     98
      5    218  25870   -581   -871    280     98
      5    213  26018  99999  99999    290    113
      5    208  26169  99999  99999    300     87
      4    200  26420   -567   -867    275     67
      5    198  99999  99999  99999    265     67
      5    186  99999  99999  99999    280    103
      5    181  99999  99999  99999    250     93
      5    175  27271   -533   -843    270     67
    254      0      4      OCT    2016
      1  99999   2836  67.37N 26.65E   178   2330
      2    300   2450   2480     85  99999      0
      3          EFSO                99999     ms
      9  10180    178     -1    -13    340     10
      4  10000    324      2    -14    350     87
      5   9860    436  99999  99999      5    108
      5   9850    445      8    -11  99999  99999
      5   9570    676  99999  99999     30    113
      4   9250    948    -25    -51     25    118
      5   8950   1208    -47    -69  99999  99999
      5   8690   1440  99999  99999     15    113
      4   8500   1614    -57   -137     20    123
      5   8280   1819    -59   -189  99999  99999
      5   8200   1895    -63   -213  99999  99999
      5   7840   2243    -89   -179  99999  99999
      5   7090   3012   -137   -287  99999  99999
      4   7000   3113   -141   -291     20    149
      5   6840   3288   -147   -367  99999  99999
      5   6670   3473  99999  99999     25    175
      5   5100   5453  99999  99999     20    231
      4   5000   5600   -279   -489     20    242
      5   4650   6117   -305   -425  99999  99999
      5   4090   7018   -349   -449  99999  99999
      5   4020   7138   -351   -491  99999  99999
      4   4000   7180   -353   -493     15    386
      5   3270   8554   -441   -601  99999  99999
      5   3120   8867  99999  99999     15    561
      4   3000   9130   -485   -575     15    566
      5   2760   9669  99999  99999     15    576
      5   2670   9885   -541   -651  99999  99999
      4   2500  10310   -559   -699     15    504
      7   2480  10361   -561   -701     10    499
      5   2450  10439  99999  99999     10    489
      5   2060  11550  99999  99999    355    226
      5   2050  11585   -499   -809  99999  99999
      4   2000  11740   -511   -821    360    216
      5   1850  12243   -533   -843  99999  99999
      5   1830  12313  99999  99999    360    175
      5   1730  12676  99999  99999    345    216
      5   1570  13303   -505   -845    355    144
      4   1500  13600   -521   -851    340    129
      5   1460  13773  99999  99999    335    113
      5   1410  13997  99999  99999      5    108
      5   1380  14135  99999  99999      5     87
      5   1350  14276  99999  99999    340    108
      5   1240  14823  99999  99999    330    154
      5   1170  15197  99999  99999    340     87
      5   1150  15308  99999  99999    330     57
      5   1090  15653  99999  99999    305     98
      4   1000  16210   -551   -881    315    123
      5    982  16326  99999  99999    305    118
      5    938  16616  99999  99999    340    103
      5    826  17426  99999  99999    345     93
      5    804  17597  99999  99999    320     62
      5    772  17855  99999  99999    330     51
      5    755  17997  99999  99999    320     36
      5    737  18151  99999  99999    290     72
      5    714  18353  99999  99999    300    113
